word,difficulty,sentence,
very easy,1,This test is very easy.,
have,1,Do you have a pen?,
time,1,What time is it?,
down,1,Please sit down.,
watch,1,I like to watch TV.,
place,1,This place is nice.,
I am,1,I'm happy today.,
ice cream,1,Do you want some ice cream?,
very,1,It is very cold.,
week,1,I'll see you next week.,
sing,1,Can you sing a song?,
night,1,Good night!,
happy,1,She looks happy.,
I can't,1,I can't do it.,
come from,1,Where do you come from?,
come,1,Please come here.,
game,1,Let's play a game.,
tree,1,There is a tree in the garden.,
water,1,I need some water.,
do not,1,Do not touch that.,
you can,1,You can do it!,
there are,1,There are many books.,
good,1,That's a good idea.,
know,1,I know the answer.,
talk,1,Can we talk?,
house,1,This is my house.,
me too,1,me too I like it,
T-shirt,1,I bought a new T-shirt.,
it's time,1,It's time to go.,
hand,1,Hold my hand.,
make,1,I can make a cake.,
work,1,I have to work.,
leave,1,It's time to leave.,
oh no,1,Oh no! I forgot my keys.,
I think,1,I think it's going to rain.,
no thanks,1,No thanks I am full,
name,1,What is your name?,
hair,1,She has long hair.,
star,1,I see a star in the sky.,
there,1,Look over there.,
I love,1,I love ice cream.,
it's hot,1,It's hot outside.,
Christmas,1,Christmas is my favorite holiday.,
here,1,I'm right here.,
when,1,When will you arrive?,
team,1,Our team won the game.,
today,1,Today is a beautiful day.,
animal,1,My favorite animal is a dog.,
there is,1,There is a cat on the roof.,
be called,1,This place is called home.,
look,1,Look at the stars.,
will,1,I will help you.,
baby,1,The baby is sleeping.,
small,1,This shirt is too small.,
colour,1,What is your favorite colour?,
it's...,1,It's time for dinner.,
long hair,1,She has long hair.,
stop,1,Please stop talking.,
well,1,I am doing well.,
bird,1,The bird is singing.,
money,1,How much money do you have?,
listen,1,Listen to the music.,
not very,1,I'm not very hungry.,
girl,1,The girl is reading a book.,
fish,1,Can you see the fish?,
feel,1,I feel happy.,
ready,1,Are you ready?,
school,1,I go to school.,
see you,1,See you later!,
feel well,1,I don't feel well.,
like,1,I like pizza.,
fine,1,I'm fine thanks,
real,1,Is this real?,
start,1,Let's start the game.,
friend,1,He is my friend.,
come in,1,Please come in!,
big sister,1,My big sister is kind.,
want,1,Do you want to play?,
take,1,Take this book.,
draw,1,Can you draw a cat?,
again,1,Let's try again.,
get up,1,Get up early.,
stand up,1,Please stand up.,
play,1,Let's play together.,
blue,1,The sky is blue.,
more,1,I want more ice cream.,
funny,1,That joke is funny.,
I want,1,I want a new toy.,
tomorrow,1,See you tomorrow!,
well done,1,Well done team,
that,1,Look at that!,
food,1,I love Italian food.,
home,1,Let's go home.,
great,1,You did a great job.,
I like,1,I like your dress.,
today is,1,Today is my birthday.,
baby sister,1,My baby sister is cute.,
nice,1,That's a nice picture.,
foot,1,My foot hurts.,
room,1,This is my room.,
think,1,I think it's good.,
I will,1,I will call you.,
go away,1,Go away please,
big brother,1,My big brother is strong.,
find,1,I can't find my keys.,
live,1,I live in New York.,
need,1,I need a pen.,
a lot,1,Thanks a lot!,
little,1,She has a little dog.,
come on,1,Come on let’s go,
fine,1,I am fine,
face,1,She has a beautiful face.,
next,1,Let's meet next week.,
walk,1,I like to walk in the park.,
never,1,I'll never forget this.,
answer,1,What's your answer?,
stop it,1,Stop it now!,
that's right,1,That's right.,
how,1,How are you?,
head,1,She has a headache.,
year,1,Happy New Year!,
cake,1,She baked a cake.,
right,1,You are right.,
family,1,I love my family.,
many,1,There are many stars.,
orange juice,1,Can I have some orange juice?,
love,1,I love my dog.,
help,1,Can you help me?,
turn,1,It's your turn.,
write,1,I will write a letter.,
thanks,1,Thanks for the gift.,
be doing,1,What will you be doing?,
baby brother,1,My baby brother is cute.,
ball,1,We played with a ball.,
book,1,She is reading a book.,
tell,1,Can you tell me a story?,
where,1,Where are you?,
people,1,There are many people here.,
a little,1,I am a little tired.,
swimming pool,1,We swam in the swimming pool.,
many,2,There are many options.,
meet,2,Let's meet at the park.,
late,2,Don't be late.,
most,2,She has the most books.,
horse,2,The horse is fast.,
prize,2,She won a prize.,
stuff,2,I have too much stuff.,
June,2,June is my favorite month.,
show,2,I like to watch the show.,
Miss,2,Miss Smith is my teacher.,
town,2,This is a small town.,
short,2,He is short.,
speak,2,Can you speak louder?,
music,2,I love listening to music.,
song,2,This is my favorite song.,
line,2,Please stand in line.,
life,2,Life is beautiful.,
wash,2,I need to wash my hands.,
paper,2,Please pass me the paper.,
quiet,2,Be quiet your brother is sleeping,
sweet,2,The candy is sweet.,
then,2,First wash then dry,
hear,2,Can you hear me?,
test,2,The test was easy.,
side,2,Stand by my side.,
mouth,2,Open your mouth.,
teach,2,I love to teach.,
table,2,Set the table.,
jump,2,Can you jump high?,
pull,2,Pull the door open.,
film,2,I watched a film.,
shop,2,Let's go to the shop.,
break,2,Take a break.,
pizza,2,We ordered pizza.,
lunch,2,What's for lunch?,
July,2,July is very hot.,
push,2,Push the button.,
hurt,2,My leg hurts.,
wall,2,There is a picture on the wall.,
go on,2,Please go on.,
class party,2,We had a class party.,
idea,2,That's a good idea.,
fast,2,He runs fast.,
bike,2,She rides a bike.,
busy,2,I'm very busy today.,
would,2,Would you like some tea?,
close,2,Close the door.,
large,2,This shirt is large.,
call,2,Can you call me?,
must,2,You must try this.,
case,2,In that case let’s go,
park,2,Let's meet at the park.,
a few,2,I have a few friends.,
March,2,March is a windy month.,
change,2,Change your clothes.,
open,2,Open the window.,
shoe,2,My shoe is untied.,
hide,2,Let's hide and seek.,
maybe,2,Maybe we can go.,
photo,2,Take a photo.,
build,2,They will build a house.,
follow,2,Follow me.,
long,2,This is a long road.,
word,2,What's the word?,
full,2,The glass is full.,
group,2,We are in a group.,
young,2,She is very young.,
sleep,2,I need some sleep.,
flower,2,She picked a flower.,
last,2,This is the last one.,
body,2,My body is sore.,
hold,2,Hold my hand.,
month,2,It's been a month.,
dance,2,Let's dance.,
throw,2,Throw the ball.,
forget,2,Don't forget.,
read,2,Can you read this?,
card,2,I got a card.,
miss,2,I miss you.,
tooth,2,My tooth hurts.,
could,2,Could you help me?,
hotel,2,We stayed at a hotel.,
better,2,I'm feeling better.,
